movie_id,title,year,release_date,revenue,budget,runtime,genres,popularity,vote_average,vote_count,original_language,type,cast
7484,Open Season,2006,2006-09-27,197300000,85000000,86,"['Animation', 'Family', 'Adventure', 'Comedy']",8.5605,6.2,2795,en,commercial,"['Martin Lawrence', 'Ashton Kutcher', 'Gary Sinise', 'Debra Messing', 'Billy Connolly']"
7518,Over the Hedge,2006,2006-05-17,343397247,80000000,84,"['Family', 'Comedy', 'Animation']",11.1172,6.567,4542,en,commercial,"['Bruce Willis', 'Garry Shandling', 'Steve Carell', 'Wanda Sykes', 'William Shatner']"
7552,Fun with Dick and Jane,2005,2005-12-21,202026112,100000000,90,"['Comedy', 'Crime']",6.093,6.207,2485,en,commercial,"['Jim Carrey', 'Téa Leoni', 'Alec Baldwin', 'Richard Jenkins', 'Angie Harmon']"
7840,"10,000 BC",2008,2008-03-04,269784201,105000000,109,"['Adventure', 'Action', 'Drama', 'Fantasy']",7.4083,5.5,2997,en,commercial,"['Steven Strait', 'Camilla Belle', 'Cliff Curtis', 'Nathanael Baring', 'Mo Zinal']"
7859,Half Nelson,2006,2006-08-11,4911725,700000,107,['Drama'],2.7409,6.641,882,en,oscar,
7980,The Lovely Bones,2009,2009-12-26,93600000,65000000,136,"['Fantasy', 'Drama']",10.518,7.069,4704,en,oscar,
8055,The Reader,2008,2008-12-10,108902486,32000000,124,"['Drama', 'Romance']",10.541,7.468,3186,en,oscar,
8272,The Savages,2007,2007-11-28,10653221,0,114,"['Drama', 'Comedy']",2.4751,6.869,397,en,oscar,
8355,Ice Age: Dawn of the Dinosaurs,2009,2009-06-26,886686817,90000000,94,"['Animation', 'Comedy', 'Family', 'Adventure']",17.4008,6.756,8457,en,commercial,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Simon Pegg']"
8373,Transformers: Revenge of the Fallen,2009,2009-06-19,836303693,200000000,150,"['Science Fiction', 'Action', 'Adventure']",5.2439,6.194,8671,en,commercial,"['Shia LaBeouf', 'Megan Fox', 'Peter Cullen', 'Hugo Weaving', 'Tony Todd']"
8488,Hitch,2005,2005-02-11,371600000,70000000,118,"['Comedy', 'Drama', 'Romance']",8.7554,6.565,5880,en,commercial,"['Will Smith', 'Eva Mendes', 'Kevin James', 'Amber Valletta', 'Julie Ann Emery']"
8909,Wanted,2008,2008-06-19,342463063,75000000,110,"['Action', 'Thriller', 'Crime']",10.7165,6.523,7184,en,commercial,"['James McAvoy', 'Morgan Freeman', 'Angelina Jolie', 'Terence Stamp', 'Thomas Kretschmann']"
8960,Hancock,2008,2008-07-01,629400000,150000000,92,"['Fantasy', 'Action']",11.2476,6.3,9735,en,commercial,"['Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head', 'Eddie Marsan']"
8966,Twilight,2008,2008-11-20,393616788,37000000,122,"['Fantasy', 'Drama', 'Romance']",30.3114,6.288,13757,en,commercial,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli', 'Ashley Greene']"
9315,Flightplan,2005,2005-09-22,223387299,55000000,98,"['Thriller', 'Drama', 'Mystery']",6.217,6.5,2674,en,commercial,"['Jodie Foster', 'Peter Sarsgaard', 'Erika Christensen', 'Kate Beahan', 'Greta Scacchi']"
